,Week,Team1,Score1,Team2,Score2,Year,Type
0,1,Crusaders,89.0,Street Fighters,59.0,2005,Regular
1,1,Crackers,51.0,Uncle Bill,71.0,2005,Regular
2,1,Afternoon Delights,82.0,Bubba,95.0,2005,Regular
3,1,Fuzzman,59.0,Monstars,73.0,2005,Regular
4,2,Fuzzman,84.0,Crusaders,115.0,2005,Regular
5,2,Street Fighters,115.0,Crackers,80.0,2005,Regular
6,2,Uncle Bill,109.0,Afternoon Delights,76.0,2005,Regular
7,2,Bubba,72.0,Monstars,57.0,2005,Regular
8,3,Crusaders,116.0,Crackers,132.0,2005,Regular
9,3,Afternoon Delights,82.0,Street Fighters,86.0,2005,Regular
10,3,Monstars,116.0,Uncle Bill,73.0,2005,Regular
11,3,Fuzzman,101.0,Bubba,77.0,2005,Regular
12,4,Afternoon Delights,89.0,Crusaders,140.0,2005,Regular
13,4,Fuzzman,99.0,Crackers,131.0,2005,Regular
14,4,Street Fighters,63.0,Monstars,104.0,2005,Regular
15,4,Uncle Bill,94.0,Bubba,75.0,2005,Regular
16,5,Crusaders,91.0,Monstars,106.0,2005,Regular
17,5,Crackers,112.0,Afternoon Delights,77.0,2005,Regular
18,5,Bubba,78.0,Street Fighters,71.0,2005,Regular
19,5,Fuzzman,83.0,Uncle Bill,53.0,2005,Regular
20,6,Bubba,107.0,Crusaders,106.0,2005,Regular
21,6,Monstars,102.0,Crackers,139.0,2005,Regular
22,6,Fuzzman,74.0,Afternoon Delights,69.0,2005,Regular
23,6,Street Fighters,85.0,Uncle Bill,84.0,2005,Regular
24,7,Crusaders,102.0,Uncle Bill,80.0,2005,Regular
25,7,Crackers,87.0,Bubba,77.0,2005,Regular
26,7,Afternoon Delights,97.0,Monstars,99.0,2005,Regular
27,7,Fuzzman,69.0,Street Fighters,52.0,2005,Regular
28,8,Street Fighters,124.0,Crusaders,83.0,2005,Regular
29,8,Uncle Bill,85.0,Crackers,71.0,2005,Regular
30,8,Bubba,93.0,Afternoon Delights,86.0,2005,Regular
